epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.452,1.64691,6.50321,1.46925,0.12617,0.32184,0.0712,0.03167,1.78285,15.6321,1.38111,0.00048,0.00048,0.00048
2,27.0865,1.56422,1.47093,1.3762,0.00464,0.62069,0.00384,0.00166,2.08031,inf,2.4341,0.000970298,0.000970298,0.000970298
3,44.1686,1.57457,1.37453,1.39892,0.31271,0.25287,0.18769,0.08667,2.42147,8.82252,2.32117,0.0014507,0.0014507,0.0014507
4,61.3624,1.57362,1.21968,1.38747,0.3656,0.6092,0.51519,0.24397,1.70225,11.93,2.04728,0.00192119,0.00192119,0.00192119
5,76.662,1.56145,1.18049,1.37907,0.45102,0.67816,0.42266,0.18985,1.67061,13.7798,1.59098,0.0019208,0.0019208,0.0019208
6,95.152,1.51786,1.11437,1.39524,0.04932,0.45973,0.04082,0.01604,2.16552,4.95655,2.04874,0.001901,0.001901,0.001901
7,109.311,1.50354,1.03591,1.35648,0.0116,0.1954,0.0069,0.00182,3.32482,5.93928,4.04543,0.0018812,0.0018812,0.0018812
8,127.24,1.49839,1.04529,1.38104,0.67609,0.66667,0.69351,0.34635,1.62915,2.62517,1.6107,0.0018614,0.0018614,0.0018614
9,141.783,1.42969,0.99997,1.33285,0.56262,0.65517,0.49773,0.26071,1.54636,2.60339,1.39573,0.0018416,0.0018416,0.0018416
10,158.629,1.41997,0.96159,1.31391,0.64484,0.60524,0.61158,0.32692,1.60058,1.92533,1.45154,0.0018218,0.0018218,0.0018218
11,172.534,1.38616,0.92123,1.29769,0.87507,0.7931,0.87024,0.49978,1.36865,1.16481,1.35852,0.001802,0.001802,0.001802
12,189.533,1.38296,0.92786,1.29922,0.79484,0.7125,0.8095,0.46799,1.46796,1.42384,1.3206,0.0017822,0.0017822,0.0017822
13,204.091,1.30786,0.88176,1.22845,0.90744,0.82759,0.91799,0.51374,1.4006,0.89538,1.26375,0.0017624,0.0017624,0.0017624
14,222.021,1.33716,0.88792,1.26097,0.93814,0.69732,0.80409,0.43913,1.43045,2.37477,1.39478,0.0017426,0.0017426,0.0017426
15,236.04,1.32673,0.85113,1.26395,0.87287,0.86207,0.93298,0.4815,1.55168,0.9014,1.36773,0.0017228,0.0017228,0.0017228
16,253.637,1.31456,0.85632,1.26837,0.88203,0.8046,0.88955,0.42545,1.55522,1.20354,1.38249,0.001703,0.001703,0.001703
17,267.776,1.3169,0.82431,1.24342,0.87007,0.8467,0.92717,0.52583,1.40631,0.86694,1.26863,0.0016832,0.0016832,0.0016832
18,280.891,1.34358,0.84889,1.26525,0.88533,0.86207,0.93828,0.56616,1.27704,0.79422,1.24126,0.0016634,0.0016634,0.0016634
19,298.94,1.29131,0.81091,1.25524,0.86271,0.86674,0.91482,0.53285,1.26221,0.79846,1.24197,0.0016436,0.0016436,0.0016436
20,316.491,1.2868,0.8026,1.25856,0.84881,0.88506,0.89691,0.53125,1.37174,0.83353,1.21773,0.0016238,0.0016238,0.0016238
21,331.765,1.2556,0.78183,1.23148,0.87503,0.86207,0.91969,0.55509,1.29974,0.73799,1.25555,0.001604,0.001604,0.001604
22,349.581,1.25624,0.767,1.21903,0.91007,0.93058,0.94265,0.57407,1.26519,0.69777,1.23192,0.0015842,0.0015842,0.0015842
23,363.771,1.21988,0.74365,1.20545,0.89574,0.93103,0.94829,0.56631,1.32947,0.64466,1.23004,0.0015644,0.0015644,0.0015644
24,381.625,1.22834,0.72711,1.20197,0.8612,0.91954,0.89713,0.53485,1.31533,0.65324,1.26474,0.0015446,0.0015446,0.0015446
25,396.121,1.20855,0.73948,1.19529,0.92928,0.90622,0.96086,0.57011,1.33084,0.73804,1.22748,0.0015248,0.0015248,0.0015248
26,409.121,1.20097,0.72575,1.19384,0.89853,0.91606,0.94875,0.56729,1.25175,0.65732,1.21253,0.001505,0.001505,0.001505
27,422.886,1.22715,0.70164,1.1957,0.90223,0.95461,0.97301,0.58996,1.35563,0.60003,1.22943,0.0014852,0.0014852,0.0014852
28,440.37,1.14958,0.67573,1.16689,0.87033,0.9258,0.91149,0.58923,1.20453,0.60045,1.19655,0.0014654,0.0014654,0.0014654
29,455.893,1.16747,0.6876,1.17291,0.92043,0.89655,0.93987,0.58301,1.30545,0.59901,1.20262,0.0014456,0.0014456,0.0014456
30,474.487,1.16774,0.6988,1.16501,0.94578,0.89655,0.96503,0.58717,1.24509,0.63813,1.20378,0.0014258,0.0014258,0.0014258
31,488.439,1.14931,0.68771,1.16726,0.91385,0.87356,0.94322,0.56603,1.2527,0.66503,1.21429,0.001406,0.001406,0.001406
32,506.355,1.15994,0.6874,1.16795,0.94401,0.87356,0.94422,0.60155,1.19508,0.62245,1.19103,0.0013862,0.0013862,0.0013862
33,522.541,1.15715,0.67021,1.1596,0.92154,0.94502,0.96308,0.5843,1.25726,0.70941,1.20512,0.0013664,0.0013664,0.0013664
34,538.874,1.1631,0.66954,1.16586,0.88743,0.87356,0.92343,0.59294,1.20183,0.67545,1.18836,0.0013466,0.0013466,0.0013466
35,554.07,1.13762,0.65623,1.16456,0.93547,0.94253,0.95971,0.55319,1.35703,0.65885,1.2147,0.0013268,0.0013268,0.0013268
36,572.379,1.16498,0.67979,1.1717,0.91819,0.90307,0.92454,0.62193,1.17247,0.70953,1.19293,0.001307,0.001307,0.001307
37,588.496,1.11796,0.65073,1.1452,0.93312,0.96226,0.96632,0.55971,1.33796,0.62476,1.21882,0.0012872,0.0012872,0.0012872
38,606.884,1.09427,0.62959,1.1497,0.89155,0.94495,0.94481,0.58013,1.20531,0.57622,1.17623,0.0012674,0.0012674,0.0012674
39,621.197,1.08029,0.61581,1.12114,0.88298,0.95406,0.96138,0.62088,1.20996,0.56505,1.16948,0.0012476,0.0012476,0.0012476
40,638.488,1.10091,0.63088,1.15165,0.86111,0.91954,0.93149,0.60817,1.25975,0.58632,1.202,0.0012278,0.0012278,0.0012278
41,652.125,1.11821,0.63911,1.16112,0.91507,0.96552,0.96422,0.60118,1.20734,0.57677,1.14954,0.001208,0.001208,0.001208
42,666.136,1.08903,0.6262,1.14781,0.89446,0.94253,0.96096,0.62735,1.17509,0.61237,1.1458,0.0011882,0.0011882,0.0011882
43,681.295,1.07489,0.62413,1.12772,0.92036,0.96552,0.95833,0.61921,1.14654,0.58329,1.15077,0.0011684,0.0011684,0.0011684
44,698.244,1.06992,0.62027,1.13537,0.93093,0.92949,0.94423,0.61942,1.14053,0.58962,1.12617,0.0011486,0.0011486,0.0011486
